Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
59,03:35,Mount,0.068,0.063,-0.082,0.043,0,0,0,,0,,,,110852,21.41,0
60,03:40,Mount,-0.1,0.047,0.085,0.071,0,0,0,,0,,,,99356,19.47,0
61,03:45,Mount,0.143,0.075,-0.158,0.035,0,0,0,,0,,,,83548,18.4,0
62,03:50,Mount,0.558,-0.6,-0.381,-0.725,-0.24,-0.725,18,E,49,N,,,96325,21.27,0
63,03:55,Mount,-0.252,-0.311,0.325,-0.234,0.188,-0.234,14,W,16,N,,,89446,19.65,0
64,04:00,Mount,-0.603,0.386,0.481,0.531,0.316,0,24,W,0,,,,90369,18.56,0
65,04:05,Mount,0.551,-0.227,-0.472,-0.363,-0.275,-0.363,21,E,25,N,,,109114,20.97,0
66,04:10,Mount,0.576,0.954,-0.806,0.77,-0.527,0.77,39,E,52,S,,,91022,20.53,0
67,04:15,Mount,-0.598,0.292,0.5,0.439,0.278,0.439,21,W,30,S,,,109990,22.12,0
68,04:20,Mount,0.233,0.694,-0.407,0.609,-0.237,0.609,18,E,41,S,,,85814,19.37,0
69,04:25,Mount,0.129,0.395,-0.228,0.347,-0.16,0.347,12,E,24,S,,,101143,19.21,0
70,04:30,Mount,0.266,0.181,-0.304,0.105,-0.203,0,15,E,0,,,,88729,18.24,0
71,04:35,Mount,-0.424,-0.269,0.48,-0.149,0.288,0,22,W,0,,,,74610,17.2,0
72,04:40,Mount,-0.175,0.31,0.087,0.345,0,0.345,0,,23,S,,,102208,19.64,0
73,04:45,Mount,-0.188,-0.302,0.261,-0.243,0.165,0,12,W,0,,,,103764,21.74,0
74,04:50,Mount,0.588,-0.196,-0.516,-0.343,-0.313,0,23,E,0,,,,100085,19.33,0
75,04:55,Mount,-0.23,-0.499,0.353,-0.422,0.2,0,15,W,0,,,,88317,18.87,0
76,05:00,Mount,0.194,0.223,-0.246,0.165,-0.141,0,10,E,0,,,,88342,18.84,0
77,05:05,Mount,0.094,-0.71,0.096,-0.71,0,-0.71,0,,48,N,,,106563,19.79,0
78,05:10,Mount,0.22,-0.39,-0.11,-0.434,0,-0.434,0,,29,N,,,98390,19.94,0
79,05:15,Mount,-0.114,-0.701,0.294,-0.646,0.185,-0.646,14,W,44,N,,,95239,21.47,0
80,05:20,Mount,0.368,-0.597,-0.198,-0.673,0,-0.673,0,,46,N,,,113194,23.62,0
81,05:25,Mount,0.573,-0.677,-0.375,-0.804,-0.236,-0.804,18,E,54,N,,,102554,21.26,0
82,05:30,Mount,-0.002,-0.072,0.021,-0.069,0,0,0,,0,,,,110587,22.22,0
83,05:35,Mount,-0.065,-0.019,0.068,-0.001,0,0,0,,0,,,,96267,18.82,0
84,05:40,Mount,0.505,-0.811,-0.274,-0.916,-0.173,-0.916,13,E,62,N,,,98639,21.5,0
85,05:45,Mount,-0.25,0.52,0.104,0.568,0,0,0,,0,,,,105464,20.91,0
86,05:50,Mount,-0.024,0.175,-0.023,0.176,0,0,0,,0,,,,99376,20.58,0
87,05:55,Mount,0.044,-0.002,-0.042,-0.014,0,0,0,,0,,,,101260,19.9,0
88,06:00,Mount,-0.668,0.424,0.533,0.584,0.336,0,25,W,0,,,,106576,21.32,0
89,06:05,Mount,-0.539,-0.478,0.646,-0.32,0.43,-0.32,32,W,22,N,,,89263,18.04,0
90,06:10,Mount,0.109,0.581,-0.258,0.532,-0.132,0,10,E,0,,,,101771,19.59,0
91,06:15,Mount,0.02,-0.171,0.026,-0.17,0,0,0,,0,,,,103266,20.6,0
92,06:20,Mount,-0.152,0.099,0.12,0.135,0,0,0,,0,,,,109104,20.28,0
93,06:25,Mount,0.07,0.16,-0.109,0.136,0,0,0,,0,,,,105551,22.21,0
94,06:30,Mount,-0.032,-0.267,0.101,-0.249,0,0,0,,0,,,,91902,19.51,0
95,06:35,Mount,0.534,0.301,-0.594,0.151,-0.374,0,28,E,0,,,,107409,19.56,0
96,06:40,Mount,-0.246,-0.254,0.305,-0.181,0.166,0,12,W,0,,,,92941,19.26,0
97,06:45,Mount,0.109,0.099,-0.131,0.066,0,0,0,,0,,,,109702,20.75,0
98,06:50,Mount,0.142,-0.27,-0.066,-0.297,0,-0.297,0,,20,N,,,92561,18.57,0
99,06:55,Mount,-0.044,0.379,-0.057,0.378,0,0,0,,0,,,,108681,23.07,0
100,07:00,Mount,-0.244,-0.407,0.342,-0.329,0.216,-0.329,16,W,22,N,,,110927,22.27,0
